university,post_text,date,likes,retweets,user_id,sentiment_label
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-07-27,325,47,user_59692,positive
Lawrence Technological University,Industry networking events are valuable.,2024-06-23,240,60,user_54199,positive
Lawrence Technological University,Small classes make learning personal.,2024-03-24,378,131,user_21483,positive
Lawrence Technological University,Administrative delays in registration.,2024-02-05,83,243,user_68762,negative
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-02-17,257,52,user_48247,positive
Lawrence Technological University,Some classrooms need renovation.,2024-09-01,215,194,user_49989,negative
Lawrence Technological University,Professors give strong career guidance.,2024-04-15,452,100,user_62197,positive
Lawrence Technological University,Some classrooms need renovation.,2024-08-10,355,260,user_97617,negative
Lawrence Technological University,Capstone projects are very practical.,2024-01-17,396,41,user_96255,positive
Lawrence Technological University,Industry networking events are valuable.,2024-06-21,481,120,user_69869,positive
Lawrence Technological University,Industry networking events are valuable.,2024-01-09,436,42,user_57646,positive
Lawrence Technological University,Industry networking events are valuable.,2024-04-27,599,35,user_47709,positive
Lawrence Technological University,Tuition cost feels high.,2024-10-05,327,134,user_80304,negative
Lawrence Technological University,Professors give strong career guidance.,2024-01-23,301,54,user_35320,positive
Lawrence Technological University,Administrative delays in registration.,2024-12-16,295,83,user_90948,negative
Lawrence Technological University,Administrative delays in registration.,2024-12-28,84,175,user_81641,negative
Lawrence Technological University,Professors give strong career guidance.,2024-01-15,465,87,user_14329,positive
Lawrence Technological University,Career fair next month.,2024-07-31,258,26,user_93771,neutral
Lawrence Technological University,Small classes make learning personal.,2024-08-02,307,56,user_97655,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-11-17,346,119,user_50129,positive
Lawrence Technological University,Industry networking events are valuable.,2024-07-18,504,52,user_54266,positive
Lawrence Technological University,Small classes make learning personal.,2024-10-28,392,130,user_27827,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-06-27,487,135,user_66231,positive
Lawrence Technological University,Orientation scheduled for Monday.,2024-03-22,347,103,user_77743,neutral
Lawrence Technological University,Small classes make learning personal.,2024-06-24,575,46,user_58365,positive
Lawrence Technological University,Capstone projects are very practical.,2024-06-23,356,89,user_41881,positive
Lawrence Technological University,Industry networking events are valuable.,2024-05-15,511,31,user_20533,positive
Lawrence Technological University,Some classrooms need renovation.,2024-04-12,88,153,user_84006,negative
Lawrence Technological University,Capstone projects are very practical.,2024-06-11,363,107,user_80475,positive
Lawrence Technological University,Capstone projects are very practical.,2024-03-10,614,146,user_62213,positive
Lawrence Technological University,Career fair next month.,2024-10-22,328,107,user_61880,neutral
Lawrence Technological University,Some classrooms need renovation.,2024-03-05,392,147,user_89843,negative
Lawrence Technological University,Limited campus events this semester.,2024-12-22,106,220,user_57427,negative
Lawrence Technological University,Administrative delays in registration.,2024-06-10,263,223,user_68857,negative
Lawrence Technological University,Parking space shortage is frustrating.,2024-04-02,292,230,user_44796,negative
Lawrence Technological University,Course catalog updated.,2024-10-13,272,114,user_19064,neutral
Lawrence Technological University,Parking space shortage is frustrating.,2024-05-15,337,159,user_59884,negative
Lawrence Technological University,Professors give strong career guidance.,2024-06-01,381,139,user_52558,positive
Lawrence Technological University,Professors give strong career guidance.,2024-05-16,467,108,user_69701,positive
Lawrence Technological University,Industry networking events are valuable.,2024-06-21,235,66,user_12609,positive
Lawrence Technological University,Professors give strong career guidance.,2024-03-08,544,30,user_81029,positive
Lawrence Technological University,Industry networking events are valuable.,2024-04-23,325,138,user_88825,positive
Lawrence Technological University,Career fair next month.,2024-12-27,87,102,user_60659,neutral
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-05-09,431,63,user_56874,positive
Lawrence Technological University,Capstone projects are very practical.,2024-01-07,484,62,user_16110,positive
Lawrence Technological University,Small classes make learning personal.,2024-09-28,406,97,user_71261,positive
Lawrence Technological University,Capstone projects are very practical.,2024-02-17,388,133,user_81429,positive
Lawrence Technological University,Small classes make learning personal.,2024-09-23,318,120,user_68793,positive
Lawrence Technological University,Capstone projects are very practical.,2024-08-09,442,111,user_74647,positive
Lawrence Technological University,Small classes make learning personal.,2024-05-03,252,82,user_19625,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-01-06,531,102,user_13925,positive
Lawrence Technological University,Small classes make learning personal.,2024-08-11,406,67,user_24774,positive
Lawrence Technological University,Industry networking events are valuable.,2024-04-18,484,59,user_39482,positive
Lawrence Technological University,Capstone projects are very practical.,2024-12-05,479,68,user_20101,positive
Lawrence Technological University,Administrative delays in registration.,2024-01-22,226,165,user_24003,negative
Lawrence Technological University,Professors give strong career guidance.,2024-06-29,575,24,user_78271,positive
Lawrence Technological University,Parking space shortage is frustrating.,2024-04-19,134,296,user_22433,negative
Lawrence Technological University,Industry networking events are valuable.,2024-02-12,331,118,user_64891,positive
Lawrence Technological University,Professors give strong career guidance.,2024-03-12,204,61,user_53388,positive
Lawrence Technological University,Small classes make learning personal.,2024-04-22,297,123,user_17388,positive
Lawrence Technological University,Parking space shortage is frustrating.,2024-12-22,263,208,user_41344,negative
Lawrence Technological University,Professors give strong career guidance.,2024-06-23,425,42,user_11250,positive
Lawrence Technological University,Professors give strong career guidance.,2024-06-25,311,35,user_82111,positive
Lawrence Technological University,Small classes make learning personal.,2024-05-27,442,52,user_10105,positive
Lawrence Technological University,Semester calendar released.,2024-11-24,358,87,user_65164,neutral
Lawrence Technological University,Some classrooms need renovation.,2024-07-07,269,156,user_14354,negative
Lawrence Technological University,Industry networking events are valuable.,2024-06-09,310,109,user_10379,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-07-12,387,103,user_23712,positive
Lawrence Technological University,Parking space shortage is frustrating.,2024-04-11,178,214,user_56958,negative
Lawrence Technological University,Professors give strong career guidance.,2024-05-25,562,61,user_13501,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-11-16,355,69,user_34117,positive
Lawrence Technological University,Capstone projects are very practical.,2024-02-21,336,51,user_57331,positive
Lawrence Technological University,Industry networking events are valuable.,2024-07-03,351,84,user_22159,positive
Lawrence Technological University,Capstone projects are very practical.,2024-10-10,325,50,user_47604,positive
Lawrence Technological University,Career fair next month.,2024-08-13,200,21,user_22264,neutral
Lawrence Technological University,Semester calendar released.,2024-02-21,305,119,user_57024,neutral
Lawrence Technological University,Tuition cost feels high.,2024-03-08,278,123,user_37480,negative
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-08-01,290,41,user_80271,positive
Lawrence Technological University,Small classes make learning personal.,2024-07-18,342,36,user_25992,positive
Lawrence Technological University,Library timing revised.,2024-05-16,371,33,user_93638,neutral
Lawrence Technological University,Small classes make learning personal.,2024-06-07,344,106,user_97239,positive
Lawrence Technological University,Industry networking events are valuable.,2024-04-12,542,31,user_18606,positive
Lawrence Technological University,Tuition cost feels high.,2024-03-28,104,134,user_68848,negative
Lawrence Technological University,Small classes make learning personal.,2024-07-24,653,131,user_80097,positive
Lawrence Technological University,Parking space shortage is frustrating.,2024-04-20,353,238,user_14094,negative
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-03-20,630,45,user_16653,positive
Lawrence Technological University,Library timing revised.,2024-11-11,276,105,user_96757,neutral
Lawrence Technological University,Professors give strong career guidance.,2024-08-07,244,42,user_38310,positive
Lawrence Technological University,Small classes make learning personal.,2024-12-27,464,113,user_65155,positive
Lawrence Technological University,Career fair next month.,2024-07-29,174,43,user_10311,neutral
Lawrence Technological University,Some classrooms need renovation.,2024-12-29,387,153,user_95884,negative
Lawrence Technological University,Capstone projects are very practical.,2024-09-02,270,115,user_71000,positive
Lawrence Technological University,Industry networking events are valuable.,2024-10-02,518,106,user_32175,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-10-26,324,145,user_65230,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-12-02,332,118,user_76385,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-09-06,609,79,user_78841,positive
Lawrence Technological University,Industry networking events are valuable.,2024-11-05,479,88,user_98616,positive
Lawrence Technological University,Small classes make learning personal.,2024-02-22,301,56,user_15311,positive
Lawrence Technological University,Small classes make learning personal.,2024-12-16,401,83,user_95724,positive
Lawrence Technological University,Professors give strong career guidance.,2024-09-13,221,140,user_46266,positive
Lawrence Technological University,Capstone projects are very practical.,2024-11-22,421,77,user_65951,positive
Lawrence Technological University,Library timing revised.,2024-07-21,243,32,user_93606,neutral
Lawrence Technological University,Limited campus events this semester.,2024-12-22,307,189,user_24634,negative
Lawrence Technological University,Industry networking events are valuable.,2024-07-05,523,81,user_81859,positive
Lawrence Technological University,Capstone projects are very practical.,2024-08-31,651,107,user_40613,positive
Lawrence Technological University,Small classes make learning personal.,2024-11-30,582,71,user_71459,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-06-27,335,88,user_81354,positive
